catu,grav,sexe,trajet,Age,catr,circ,vosp,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col
Conducteur,Blessé_hospitalisé,0,Promenade – loisirs,10,Route departementale,Bidirectionnelle,Sans objet,Plat,En courbe à droite,Normale,Autres,Sur chaussée,30,10,Plein_jour,78,En_agglomeration,Autre intersection,Normale,Autre collision
Passager,Blessé_hospitalisé,0,Promenade – loisirs,10,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,10,Plein_jour,78,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,Blessé_leger,1,Promenade – loisirs,61,Voie comunales,Bidirectionnelle,Sans objet,Pante,En courbe à droite,Normale,Aucun,Sur chaussée,50,10,Plein_jour,78,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,Blessé_hospitalisé,0,Promenade – loisirs,51,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Carrefour aménagé,Sur chaussée,50,1,Plein_jour,93,En_agglomeration,Intersection en X,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,29,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,11,Nuit avec eclairage public allum,91,En_agglomeration,Hors intersection,Temps éblouissant,Autre collision
Conducteur,Indemne,1,Autre,27,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,11,Aube,91,En_agglomeration,Intersection en T,Temps éblouissant,Deux véhicules frontale
Passager,Blessé_leger,1,Promenade – loisirs,17,Route departementale,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,70,12,Plein_jour,78,Hors_agglomeration,Autre intersection,Normale,Deux véhicules par le coté
Conducteur,Indemne,1,Promenade – loisirs,22,Route departementale,Avec voies d’affectation variable,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,70,12,Aube,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,Indemne,0,Promenade – loisirs,22,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,80,12,Nuit sans eclairage public,77,Hors_agglomeration,Hors intersection,Pluie légère,Deux véhicules frontale
Pieton,Blessé_hospitalisé,0,Autre,12,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur trottoire,50,8,Aube,92,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Indemne,1,Utilisation professionnelle,29,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit sans eclairage public,75,En_agglomeration,Intersection en X,Normale,Autre collision
Conducteur,Blessé_hospitalisé,1,Domicile – travail,53,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur chaussée,50,12,Nuit avec eclairage public allum,77,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Indemne,1,Utilisation professionnelle,64,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Plein_jour,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Indemne,1,Promenade – loisirs,51,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Plein_jour,91,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,Indemne,0,Autre,18,Autoroute,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,110,12,Aube,91,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Blessé_leger,0,Promenade – loisirs,69,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en T,Normale,Deux véhicules par le coté
Conducteur,Indemne,1,Autre,42,Autoroute,A sens unique,Sans objet,Pante,En courbe à droite,Normale,Aucun,Sur chaussée,70,12,Nuit sans eclairage public,78,Hors_agglomeration,Autre intersection,Normale,Autre collision
Passager,Indemne,1,Domicile – travail,52,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90,12,Nuit avec eclairage public allum,93,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Indemne,1,Utilisation professionnelle,29,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90,12,Nuit sans eclairage public,93,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Passager,Indemne,1,Utilisation professionnelle,22,Autoroute,A chaussées séparées,Sans objet,Plat,En Courbe à gauche,Normale,Aucun,Sur chaussée,90,12,Nuit sans eclairage public,93,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Conducteur,Blessé_leger,1,Utilisation professionnelle,38,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Plein_jour,78,En_agglomeration,Autre intersection,Normale,Trois véhicules et plus en chaîne
Conducteur,Indemne,0,Promenade – loisirs,46,Route departementale,Bidirectionnelle,Sans objet,Plat,En Courbe à gauche,Mouillée,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,78,En_agglomeration,Autre intersection,Normale,Autre collision
Conducteur,Indemne,0,Promenade – loisirs,20,Autoroute,Avec voies d’affectation variable,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90,12,Plein_jour,93,Hors_agglomeration,Hors intersection,Temps couvert,Deux véhicules par le coté
Conducteur,Indemne,1,Promenade – loisirs,70,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,12,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Blessé_hospitalisé,0,Domicile – travail,51,Voie comunales,A sens unique,Piste cyclable,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,12,Plein_jour,75,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Pieton,Blessé_leger,0,Autre,12,Voie comunales,Bidirectionnelle,Piste cyclable,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en T,Normale,Trois véhicules et plus en chaîne
Conducteur,Indemne,1,Utilisation professionnelle,32,Voie comunales,Bidirectionnelle,Piste cyclable,Sommet de cote,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,75,En_agglomeration,Autre intersection,Normale,Sans collision
Pieton,Deceder,0,Autre,75,Voie comunales,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,12,Plein_jour,75,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,Indemne,0,Autre,50,Route departementale,A sens unique,Sans objet,Pante,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,94,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Blessé_leger,0,Promenade – loisirs,54,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50,12,Plein_jour,94,En_agglomeration,Autre intersection,Pluie légère,Deux véhicules frontale
Passager,Blessé_leger,0,Promenade – loisirs,27,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Plein_jour,93,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,Indemne,1,Promenade – loisirs,30,Route departementale,A chaussées séparées,Piste cyclable,Plat,Partie Rectiligne,Normale,Autres,Sur chaussée,50,12,Aube,93,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,33,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Aube,93,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Blessé_hospitalisé,0,Promenade – loisirs,19,Voie comunales,A sens unique,Sans objet,Plat,En courbe à droite,Normale,Aucun,Sur trottoire,50,12,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Deux véhicules frontale
Conducteur,Indemne,1,Promenade – loisirs,73,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Carrefour aménagé,Sur chaussée,50,12,Nuit avec eclairage public allum,93,En_agglomeration,Intersection en X,Temps couvert,Deux véhicules par le coté
Conducteur,Blessé_leger,1,Domicile – travail,37,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Plein_jour,92,En_agglomeration,Intersection en T,Normale,Deux véhicules par le coté
Conducteur,Blessé_leger,0,Promenade – loisirs,41,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur chaussée,50,12,Plein_jour,92,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,Indemne,1,Domicile – travail,27,Route nationale,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90,12,Nuit sans eclairage public,91,Hors_agglomeration,Hors intersection,Normale,Sans collision
Conducteur,Indemne,1,Promenade – loisirs,38,Autoroute,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90,12,Plein_jour,91,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,Blessé_leger,1,Promenade – loisirs,1,Autoroute,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,90,12,Nuit sans eclairage public,77,Hors_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Blessé_leger,1,Domicile – travail,30,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,93,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Passager,Indemne,1,Promenade – loisirs,18,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en X,Normale,Autre collision
Conducteur,Blessé_leger,1,Domicile – travail,23,Route nationale,Bidirectionnelle,Piste cyclable,Plat,Partie Rectiligne,Normale,Autres,Sur accotement,50,12,Aube,77,Hors_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,59,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur accotement,50,12,Nuit avec eclairage public allum,91,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Blessé_leger,0,Domicile – travail,28,Route departementale,A chaussées séparées,Sans objet,Pante,En Courbe à gauche,Normale,Souterrain tunnel,Sur chaussée,50,12,Plein_jour,78,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Indemne,1,Domicile – travail,21,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30,12,Plein_jour,91,En_agglomeration,Hors intersection,Pluie légère,Autre collision
Conducteur,Blessé_hospitalisé,1,Promenade – loisirs,66,Voie comunales,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,77,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Blessé_hospitalisé,0,Promenade – loisirs,43,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Mouillée,zonne pietonne,Sur chaussée,50,12,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Indemne,0,Autre,33,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,zonne pietonne,Sur chaussée,50,12,Plein_jour,93,En_agglomeration,Intersection en Y,Normale,Autre collision
Conducteur,Blessé_leger,1,Promenade – loisirs,16,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,93,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Passager,Blessé_leger,0,Promenade – loisirs,17,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,93,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,Blessé_leger,1,Promenade – loisirs,69,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,5,12,Nuit avec eclairage public allum,93,En_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Conducteur,Blessé_leger,1,Promenade – loisirs,65,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,93,En_agglomeration,Intersection en X,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,86,Voie comunales,Bidirectionnelle,Piste cyclable,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Plein_jour,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
Pieton,Deceder,0,Autre,77,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,92,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,88,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,92,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Blessé_leger,1,Promenade – loisirs,41,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Souterrain tunnel,Sur chaussée,50,12,Nuit avec eclairage public allum,92,En_agglomeration,Autre intersection,Normale,Autre collision
Conducteur,Blessé_leger,0,Domicile – travail,41,Route departementale,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,92,En_agglomeration,Autre intersection,Normale,Autre collision
Conducteur,Indemne,1,Domicile – travail,20,Route nationale,A chaussées séparées,Sans objet,Pante,Partie Rectiligne,Normale,Aucun,Sur accotement,110,12,Nuit sans eclairage public,91,Hors_agglomeration,Hors intersection,Normale,Sans collision
Conducteur,Blessé_leger,0,Autre,45,Voie comunales,A chaussées séparées,Piste cyclable,Plat,Partie Rectiligne,Mouillée,Aucun,Sur piste cyclable,50,12,Nuit avec eclairage public allum,95,En_agglomeration,Hors intersection,Pluie légère,Autre collision
Conducteur,Indemne,1,Utilisation professionnelle,54,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50,12,Plein_jour,78,En_agglomeration,Hors intersection,Pluie légère,Deux véhicules par le coté
Conducteur,Indemne,1,Utilisation professionnelle,38,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,12,Plein_jour,77,En_agglomeration,Intersection en T,Normale,Deux véhicules par le coté
Pieton,Deceder,0,Autre,101,Route departementale,Bidirectionnelle,Sans objet,Pante,En courbe à droite,Mouillée,Aucun,Sur chaussée,50,12,Plein_jour,77,Hors_agglomeration,Hors intersection,Pluie légère,Deux véhicules frontale
Passager,Blessé_leger,0,Promenade – loisirs,18,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Souterrain tunnel,Sur chaussée,70,12,Plein_jour,75,En_agglomeration,Intersection en Y,Normale,Trois véhicules et plus en chaîne
Conducteur,Blessé_leger,1,Utilisation professionnelle,24,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Souterrain tunnel,Sur chaussée,70,12,Plein_jour,75,En_agglomeration,Hors intersection,Normale,Trois véhicules et plus en chaîne
Conducteur,Blessé_hospitalisé,1,Domicile – travail,20,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,70,12,Plein_jour,75,En_agglomeration,Hors intersection,Normale,Deux véhicules par l’arrière
Conducteur,Indemne,0,Autre,38,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en X,Pluie légère,Deux véhicules par le coté
Conducteur,Blessé_hospitalisé,1,Promenade – loisirs,25,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,2,12,Plein_jour,75,En_agglomeration,Intersection en T,Pluie légère,Autre collision
Conducteur,Indemne,0,Promenade – loisirs,37,Voie comunales,A sens unique,Sans objet,Plat,En courbe à droite,Mouillée,Aucun,Sur chaussée,30,12,Plein_jour,75,En_agglomeration,Intersection en Y,Pluie légère,Autre collision
Passager,Blessé_leger,1,Promenade – loisirs,49,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en T,Normale,Autre collision
Passager,Blessé_leger,1,Promenade – loisirs,12,Voie comunales,A chaussées séparées,Piste cyclable,Pante,En courbe à droite,Normale,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en X,Temps couvert,Autre collision
Conducteur,Blessé_hospitalisé,0,Promenade – loisirs,82,Voie comunales,Bidirectionnelle,Sans objet,Plat,En courbe à droite,Normale,Aucun,Sur chaussée,50,12,Aube,75,En_agglomeration,Intersection en T,Normale,Autre collision
Conducteur,Blessé_leger,1,Promenade – loisirs,67,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en X,Normale,Deux véhicules par le coté
Conducteur,Blessé_hospitalisé,1,Domicile – travail,55,Voie comunales,A chaussées séparées,Sans objet,Plat,Partie Rectiligne,Mouillée,Carrefour aménagé,Sur chaussée,50,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en X,Pluie légère,Deux véhicules par le coté
Conducteur,Blessé_hospitalisé,1,Promenade – loisirs,16,Voie comunales,A sens unique,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30,12,Nuit avec eclairage public allum,75,En_agglomeration,Intersection en T,Pluie légère,Sans collision
Conducteur,Indemne,0,Promenade – loisirs,51,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,94,En_agglomeration,Intersection en T,Normale,Deux véhicules par le coté
Conducteur,Deceder,0,Autre,74,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Nuit avec eclairage public allum,94,En_agglomeration,Hors intersection,Normale,Autre collision
Conducteur,Indemne,1,Promenade – loisirs,40,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Autres,Sur chaussée,50,12,Aube,94,En_agglomeration,Hors intersection,Pluie légère,Deux véhicules par le coté
Conducteur,Blessé_hospitalisé,1,Domicile – travail,67,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,30,12,Plein_jour,94,En_agglomeration,Hors intersection,Pluie légère,Autre collision
Conducteur,Indemne,1,Domicile – travail,25,Route departementale,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Carrefour aménagé,Sur chaussée,50,12,Aube,94,En_agglomeration,Intersection en X,Pluie légère,Deux véhicules par le coté
Pieton,Blessé_hospitalisé,1,Autre,15,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50,12,Plein_jour,93,En_agglomeration,Intersection en T,Pluie légère,Autre collision
Conducteur,Blessé_leger,1,Promenade – loisirs,78,Route departementale,A chaussées séparées,Piste cyclable,Plat,Partie Rectiligne,Mouillée,zonne pietonne,Sur chaussée,50,12,Nuit avec eclairage public allum,93,En_agglomeration,Hors intersection,Pluie légère,Trois véhicules et plus en chaîne
Conducteur,Indemne,1,Promenade – loisirs,35,Voie comunales,Bidirectionnelle,Sans objet,Plat,Partie Rectiligne,Mouillée,Aucun,Sur chaussée,50,12,Aube,93,En_agglomeration,Autre intersection,Pluie légère,Deux véhicules par le coté
Conducteur,Blessé_leger,0,Promenade – loisirs,55,Route departementale,Bidirectionnelle,Piste cyclable,Plat,Partie Rectiligne,Normale,Aucun,Sur chaussée,50,12,Plein_jour,93,En_agglomeration,Hors intersection,Normale,Deux véhicules par le coté
